player1,player2,total_encounters,p1_wins,p2_wins,p1_avg_rank,p2_avg_rank,avg_combined_rank,closeness,elite_score
Ammendum,kaltepfote,7,1,6,17.14,8.71,12.93,0.2286,0.54
Covert Skeleton,HZaninelli,23,14,9,15.74,17.35,16.54,0.6261,1.39
Covert Skeleton,Liz,7,3,4,13.14,10.71,11.93,0.8163,0.59
Covert Skeleton,Miroko,7,3,4,11.29,10.29,10.79,0.8163,0.65
Covert Skeleton,Mubirobiro [BR],21,4,17,15.1,7.71,11.4,0.2309,1.84
Covert Skeleton,Quali,45,17,28,13.11,11.31,12.21,0.4875,3.69
Covert Skeleton,Skoops!,13,6,7,14.69,12.08,13.38,0.8791,0.97
Covert Skeleton,Xrenoid,34,12,22,13.82,8.71,11.26,0.4706,3.02
Covert Skeleton,hrejarz2,27,20,7,14.15,19.78,16.96,0.3143,1.59
Covert Skeleton,kaltepfote,14,7,7,12.36,14.14,13.25,1.0,1.06
Covert Skeleton,masterv5983,34,18,16,12.88,14.41,13.65,0.8556,2.49
Covert Skeleton,maximeeepje,13,4,9,14.46,8.85,11.65,0.4923,1.12
Covert Skeleton,wœire,19,13,6,13.63,17.11,15.37,0.4678,1.24
HZaninelli,Liz,7,5,2,19.0,19.0,19.0,0.4969,0.37
HZaninelli,Madnukin,7,1,6,20.14,9.86,15.0,0.2286,0.47
HZaninelli,Miroko,7,1,6,17.14,6.0,11.57,0.2286,0.6
HZaninelli,Mubirobiro [BR],22,3,19,19.0,7.36,13.18,0.1515,1.67
HZaninelli,Quali,50,6,44,20.18,10.4,15.29,0.0828,3.27
HZaninelli,Skoops!,16,5,11,21.19,13.94,17.56,0.4808,0.91
HZaninelli,Xrenoid,41,6,35,18.73,8.05,13.39,0.1195,3.06
HZaninelli,hrejarz2,24,13,11,17.75,21.54,19.65,0.8333,1.22
HZaninelli,kaltepfote,13,3,10,20.85,12.92,16.88,0.3419,0.77
HZaninelli,masterv5983,36,12,24,19.78,15.94,17.86,0.4167,2.02
HZaninelli,maximeeepje,18,5,13,20.06,9.5,14.78,0.3968,1.22
HZaninelli,seagull,10,6,4,18.1,20.1,19.1,0.7273,0.52
HZaninelli,wœire,22,12,10,16.86,17.05,16.95,0.8264,1.3
